"","anos","BD_sep","BD_jun","BT_sep","BT_jun","R_sep","R_jun","F_sep","F_jun"
"1",2002,40951,41213,194920,197200,6280,6315,0.49,0.5
"2",2003,57096,57682,200800,203060,9191,9222,0.34,0.35
"3",2004,57102,57678,210790,212490,13264,13307,0.39,0.4
"4",2005,58821,59315,266800,269680,20282,20573,0.48,0.49
"5",2006,77957,78422,252550,254240,8370,8305,0.32,0.32
"6",2007,61494,61186,207380,207580,8651,8624,0.56,0.58
"7",2008,40283,39547,176060,175740,10848,10919,0.67,0.7
"8",2009,31677,30768,150360,149630,6789,6773,0.88,0.92
"9",2010,30535,29728,107450,106140,5312,5301,0.36,0.37
"10",2011,29097,28405,99342,98159,5564,5544,0.31,0.32
"11",2012,31432,31171,146180,146100,14058,14146,0.26,0.27
"12",2013,46501,46065,140570,140240,2521,2501,0.3,0.32
"13",2014,39131,38953,149190,150040,12319,12489,0.38,0.39
"14",2015,42501,42512,135130,136350,3317,3406,0.36,0.37
"15",2016,32793,32993,90698,92081,2550,2649,0.42,0.43
"16",2017,19677,20264,74464,77529,4984,5324,0.48,0.48
"17",2018,20680,22170,70331,76962,3551,4166,0.25,0.25
"18",2019,24776,28464,110240,124640,10586,11918,0.25,0.22
"19",2020,38349,45275,113800,128280,2378,2356,0.26,0.21
"20",2021,NA,39749,NA,108910,NA,5475,NA,0.23
