"","anos","F/F~RMS~**S**","F/F~RMS~**J**","BD/BD~RMS~**S**","BD/BD~RMS~**J**","Y/BT_**S**","Y/BT_**J**"
"1",2002,1.592,1.584,1.386,1.367,0.187,0.19
"2",2003,1.106,1.092,1.932,1.924,0.157,0.159
"3",2004,1.272,1.254,1.932,1.931,0.166,0.169
"4",2005,1.547,1.521,1.991,1.991,0.182,0.184
"5",2006,1.022,1.007,2.638,2.639,0.154,0.156
"6",2007,1.822,1.812,2.081,2.062,0.249,0.255
"7",2008,2.176,2.178,1.363,1.335,0.258,0.264
"8",2009,2.85,2.869,1.072,1.039,0.335,0.343
"9",2010,1.148,1.154,1.033,1.004,0.191,0.198
"10",2011,1.002,1.007,0.985,0.959,0.168,0.174
"11",2012,0.854,0.843,1.064,1.055,0.135,0.137
"12",2013,0.976,0.982,1.574,1.553,0.156,0.159
"13",2014,1.211,1.208,1.324,1.316,0.159,0.161
"14",2015,1.166,1.159,1.438,1.435,0.179,0.181
"15",2016,1.369,1.345,1.11,1.113,0.213,0.214
"16",2017,1.564,1.496,0.666,0.685,0.207,0.202
"17",2018,0.822,0.773,0.7,0.749,0.121,0.115
"18",2019,0.796,0.675,0.838,0.965,0.101,0.088
"19",2020,0.83,0.647,1.298,1.541,0.134,0.109
"20",2021,NA,0.735,NA,1.339,NA,0.121
"21",2002,NA,1.584,NA,1.367,NA,0.19
